trade_date,ts_code,name,list_date
20210129,000565.SZ,渝三峡Ａ,19940408
20210129,000566.SZ,海南海药,19940525
20210129,000567.SZ,海德股份,19940525
20210129,000568.SZ,泸州老窖,19940509
20210129,000570.SZ,苏常柴Ａ,19940701
20210129,000571.SZ,*ST大洲,19940525
20210129,000572.SZ,ST海马,19940808
20210129,000573.SZ,粤宏远Ａ,19940815
20210129,000576.SZ,甘化科工,19940907
20210129,000581.SZ,威孚高科,19980924
20210129,000582.SZ,北部湾港,19951102
20210129,000584.SZ,哈工智能,19951128
20210129,000585.SZ,*ST东电,19951213
20210129,000586.SZ,汇源通信,19951220
20210129,000587.SZ,*ST金洲,19960425
20210129,000589.SZ,贵州轮胎,19960308
20210129,000590.SZ,启迪药业,19960119
20210129,000591.SZ,太阳能,19960208
20210129,000592.SZ,平潭发展,19960327
20210129,000593.SZ,大通燃气,19960312
20210129,000595.SZ,*ST宝实,19960419
20210129,000596.SZ,古井贡酒,19960927
20210129,000597.SZ,东北制药,19960523
20210129,000598.SZ,兴蓉环境,19960529
20210129,000599.SZ,青岛双星,19960430
20210129,000600.SZ,建投能源,19960606
20210129,000601.SZ,韶能股份,19960830
20210129,000603.SZ,盛达资源,19960823
20210129,000605.SZ,渤海股份,19960913
20210129,000606.SZ,顺利办,19961004
20210129,000607.SZ,华媒控股,19960830
20210129,000608.SZ,阳光股份,19960919
20210129,000609.SZ,中迪投资,19961010
20210129,000610.SZ,西安旅游,19960926
20210129,000611.SZ,ST天首,19961008
20210129,000612.SZ,焦作万方,19960926
20210129,000613.SZ,大东海A,19970128
20210129,000615.SZ,奥园美谷,19961016
20210129,000616.SZ,海航投资,19961108
20210129,000617.SZ,中油资本,19961022
20210129,000619.SZ,海螺型材,19961023
20210129,000620.SZ,新华联,19961029
20210129,000622.SZ,恒立实业,19961107
20210129,000623.SZ,吉林敖东,19961028
20210129,000625.SZ,长安汽车,19970610
20210129,000626.SZ,远大控股,19961128
20210129,000627.SZ,天茂集团,19961112
20210129,000628.SZ,高新发展,19961118
20210129,000629.SZ,攀钢钒钛,19961115
20210129,000630.SZ,铜陵有色,19961120
20210129,000631.SZ,顺发恒业,19961122
20210129,000632.SZ,三木集团,19961121
20210129,000633.SZ,合金投资,19961112
20210129,000635.SZ,英 力 特,19961120
20210129,000636.SZ,风华高科,19961129
20210129,000637.SZ,茂化实华,19961114
20210129,000638.SZ,万方发展,19961126
20210129,000639.SZ,西王食品,19961126
20210129,000650.SZ,仁和药业,19961210
20210129,000651.SZ,格力电器,19961118
20210129,000652.SZ,泰达股份,19961128
20210129,000655.SZ,金岭矿业,19961128
20210129,000656.SZ,金科股份,19961128
20210129,000657.SZ,中钨高新,19961205
20210129,000659.SZ,珠海中富,19961203
20210129,000661.SZ,长春高新,19961218
20210129,000662.SZ,*ST天夏,19961216
20210129,000663.SZ,*ST永林,19961206
20210129,000665.SZ,湖北广电,19961210
20210129,000666.SZ,经纬纺机,19961210
20210129,000667.SZ,美好置业,19961205
20210129,000668.SZ,荣丰控股,19961210
20210129,000669.SZ,*ST金鸿,19961210
20210129,000670.SZ,*ST盈方,19961217
20210129,000671.SZ,阳 光 城,19961218
20210129,000672.SZ,上峰水泥,19961218
20210129,000673.SZ,*ST当代,19970124
20210129,000676.SZ,智度股份,19961224
20210129,000677.SZ,恒天海龙,19961226
20210129,000678.SZ,襄阳轴承,19970106
20210129,000679.SZ,*ST友谊,19970124
20210129,000680.SZ,山推股份,19970122
20210129,000681.SZ,视觉中国,19970121
20210129,000682.SZ,东方电子,19970121
20210129,000683.SZ,远兴能源,19970131
20210129,000685.SZ,中山公用,19970123
20210129,000686.SZ,东北证券,19970227
20210129,000687.SZ,*ST华讯,19970221
20210129,000688.SZ,国城矿业,19970120
20210129,000690.SZ,宝新能源,19970128
20210129,000691.SZ,亚太实业,19970228
20210129,000692.SZ,惠天热电,19970227
20210129,000695.SZ,滨海能源,19970218
20210129,000697.SZ,炼石航空,19970325
20210129,000698.SZ,沈阳化工,19970220
20210129,000700.SZ,模塑科技,19970228
20210129,000701.SZ,厦门信达,19970226
20210129,000702.SZ,正虹科技,19970318
20210129,000703.SZ,恒逸石化,19970328
20210129,000705.SZ,浙江震元,19970410
20210129,000707.SZ,ST双环,19970415
20210129,000708.SZ,中信特钢,19970326
20210129,000709.SZ,河钢股份,19970416
20210129,000710.SZ,贝瑞基因,19970422
20210129,000711.SZ,京蓝科技,19970411
20210129,000712.SZ,锦龙股份,19970415
20210129,000713.SZ,丰乐种业,19970422
20210129,000715.SZ,中兴商业,19970508
20210129,000716.SZ,黑芝麻,19970418
20210129,000717.SZ,韶钢松山,19970508
20210129,000718.SZ,苏宁环球,19970408
20210129,000719.SZ,中原传媒,19970331
20210129,000720.SZ,新能泰山,19970509
20210129,000721.SZ,西安饮食,19970430
20210129,000722.SZ,湖南发展,19970522
20210129,000723.SZ,美锦能源,19970515
20210129,000725.SZ,京东方Ａ,20010112
20210129,000726.SZ,鲁 泰Ａ,20001225
20210129,000727.SZ,*ST东科,19970520
20210129,000728.SZ,国元证券,19970616
20210129,000729.SZ,燕京啤酒,19970716
20210129,000731.SZ,四川美丰,19970617
20210129,000732.SZ,泰禾集团,19970704
20210129,000733.SZ,振华科技,19970703
20210129,000735.SZ,罗 牛 山,19970611
20210129,000736.SZ,中交地产,19970425
20210129,000737.SZ,ST南风,19970428
20210129,000738.SZ,航发控制,19970626
20210129,000739.SZ,普洛药业,19970509
20210129,000750.SZ,国海证券,19970709
20210129,000751.SZ,锌业股份,19970626
20210129,000752.SZ,*ST西发,19970625
20210129,000753.SZ,漳州发展,19970626
20210129,000755.SZ,山西路桥,19970627
20210129,000756.SZ,新华制药,19970806
20210129,000757.SZ,浩物股份,19970627
20210129,000758.SZ,中色股份,19970416
20210129,000759.SZ,中百集团,19970519
20210129,000760.SZ,*ST斯太,19970627
20210129,000761.SZ,本钢板材,19980115
20210129,000762.SZ,西藏矿业,19970708
20210129,000766.SZ,通化金马,19970430
20210129,000767.SZ,晋控电力,19970609
20210129,000768.SZ,中航西飞,19970626
20210129,000776.SZ,广发证券,19970611
20210129,000777.SZ,中核科技,19970710
20210129,000778.SZ,新兴铸管,19970606
20210129,000779.SZ,甘咨询,19970528
20210129,000780.SZ,*ST平能,19970606
20210129,000782.SZ,美达股份,19970619
20210129,000783.SZ,长江证券,19970731
20210129,000785.SZ,居然之家,19970711
20210129,000786.SZ,北新建材,19970606
20210129,000788.SZ,北大医药,19970616
20210129,000789.SZ,万年青,19970923
20210129,000790.SZ,华神科技,19980327
20210129,000791.SZ,甘肃电投,19971014
20210129,000792.SZ,*ST盐湖,19970904
20210129,000793.SZ,华闻集团,19970729
20210129,000795.SZ,英洛华,19970808
20210129,000796.SZ,凯撒旅业,19970703
20210129,000797.SZ,中国武夷,19970715
20210129,000798.SZ,中水渔业,19980212
20210129,000799.SZ,酒鬼酒,19970718
20210129,000800.SZ,一汽解放,19970618
20210129,000801.SZ,四川九洲,19980506
20210129,000802.SZ,北京文化,19980108
20210129,000803.SZ,*ST北能,19980303
20210129,000806.SZ,*ST银河,19980416
20210129,000807.SZ,云铝股份,19980408
20210129,000809.SZ,铁岭新城,19980616
20210129,000810.SZ,创维数字,19980602
20210129,000811.SZ,冰轮环境,19980528
20210129,000812.SZ,陕西金叶,19980623
20210129,000813.SZ,德展健康,19980519
20210129,000815.SZ,美利云,19980609
20210129,000816.SZ,智慧农业,19970818
20210129,000818.SZ,航锦科技,19971017
20210129,000819.SZ,岳阳兴长,19970625
20210129,000820.SZ,*ST节能,19980630
